id,title,url,shoot_timestamp,edit_timestamp,upload_timestamp,status,comment
059,Bullish Engulfing Pattern & Trading Strategy in Hindi,,07-Oct-12,07-Oct-12,10-Oct-20,6,
060,Bearish Engulfing Pattern & Trading Strategy in Hindi,,08-Oct-20,08-Oct-20,11-Oct-20,6,
061,"Bullish Harami Candlestick Pattern, in Hindi",,09-Oct-20,09-Oct-20,12-Oct-20,6,
062,"Bearish Harami Candlestick Pattern, in Hindi",,12-Oct-20,12-Oct-20,13-Oct-20,6,
063,"Resistance and Support in Trading, Resistance or Support Kya Hota Hai",,13-Oct-20,13-Oct-20,14-Oct-20,6,
064,Gold ETF Investment - Gold ETF Me Invest Kaise Kare,,14-Oct-20,14-Oct-20,15-Oct-20,6,
065,"Short Selling Kya Hota Hai, Short Selling Explained",,19-Oct-20,19-Oct-20,19-Oct-20,6,
066,RSI Indicator Explained in Hindi - RSI Trading Strategy,,06-Nov-20,06-Nov-20,06-Nov-20,6,
067,Bollinger Bands Trading Strategy,,09-Nov-20,09-Nov-20,09-Nov-20,6,
068,VWAP Trading Strategy in Hindi - VWAP Indicator,,23-Dec-20,23-Dec-20,25-Dec-20,6,
069,"Supertrend Indicator Trading Strategy for Intraday, in Hindi",,28-Dec-20,29-Dec-20,03-Jan-21,6,
070,"MACD Indicator Explained in Hindi, MACD Trading Strategy",,28-Dec-20,30-Dec-20,05-Jan-21,6,
071,Risk Reward Ratio Kya Hai? RRR Intraday Trading in Zerodha,,28-Dec-20,06-Jan-20,12-Jan-21,6,
072,Zerodha Commodity Trading Charges,,28-Dec-20,06-Jan-20,14-Jan-21,6,
073,Tax on Options Trading in India - Option Trader Tax Filing,,14-Jul-23,14-Jul-23,14-Jul-23,6,
074,How To Apply For Share Buyback in Zerodha App,,30-Dec-20,30-Dec-20,30-Dec-20,6,
075,Options Kya Hota Hai - Options Explained With Examples,,20-Jan-21,20-Jan-21,20-Jan-21,6,
076,Zerodha Me Share Kaise Kharide,,04-Dec-20,04-Dec-20,04-Dec-20,6,
077,Zerodha Me Brokerage Kitna Lagta Hai,,04-Dec-20,04-Dec-20,07-Dec-20,6,
078,Options Trading for Beginners ,,21-Jan-21,21-Jan-21,22-Jan-21,6,
079,New SEBI Peak Margin Norms Change - 1st December 2020,,11-Dec-20,11-Dec-20,11-Dec-20,6,
080,Options Buying vs Selling ,,25-Feb-21,25-Feb-21,25-Feb-21,6,
081,Why I Don't Invest in Dividend Paying Stocks in India - Short,,07-Feb-23,07-Feb-23,07-Feb-23,6,
082,Commodity Trading Kaise Kare in Hindi - Commodity Trading for Beginners,,21-Dec-20,21-Dec-20,21-Dec-20,6,
083,How to Convert MIS to CNC in Zerodha or MIS to NRML,,08-Feb-21,08-Feb-21,08-Feb-21,6,
084,How to Change Mobile Number in Zerodha Kite Account,,08-Feb-21,18-Feb-21,18-Feb-21,6,
085,Highest Dividend Paying Stocks - 2023,,07-Feb-23,11-Feb-23,11-Feb-23,6,
086,DDPI - अब Holding शेयर बेचने के लिए T-PIN नहीं जरूरी - on Dhan,,11-Feb-23,14-Feb-23,16-Feb-23,6,
087,Option Buying for Beginners - Option Buying Trading Strategies,,25-Jan-21,25-Jan-21,25-Jan-21,6,
088,Option Selling for Beginners - Option Selling Strategies,,27-Jan-21,27-Jan-21,27-Jan-21,6,
